コード,銘柄名,市場区分,更新日
4212,積水樹脂,プライム,2023/08/09
4216,旭有機材,プライム,2023/08/09
4218,ニチバン,プライム,2023/08/09
4220,リケンテクノス,プライム,2023/08/09
4221,大倉工業,プライム,2023/08/09
4228,積水化成品工業,プライム,2023/08/09
4229,群栄化学工業,プライム,2023/08/09
4245,ダイキアクシス,プライム,2023/08/09
4246,ダイキョーニシカワ,プライム,2023/08/09
4248,竹本容器,プライム,2023/08/09
4249,森六ホールディングス,プライム,2023/08/09
4251,恵和,プライム,2023/08/09
4272,日本化薬,プライム,2023/08/09
4275,カーリットホールディングス,プライム,2023/08/09
4362,日本精化,プライム,2023/08/09
4368,扶桑化学工業,プライム,2023/08/09
4369,トリケミカル研究所,プライム,2023/08/09
4401,ＡＤＥＫＡ,プライム,2023/08/09
4403,日油,プライム,2023/08/09
4410,ハリマ化成グループ,プライム,2023/08/09
4452,花王,プライム,2023/08/09
4461,第一工業製薬,プライム,2023/08/09
4462,石原ケミカル,プライム,2023/08/09
4463,日華化学,プライム,2023/08/09
4465,ニイタカ,プライム,2023/08/09
4471,三洋化成工業,プライム,2023/08/09
4611,大日本塗料,プライム,2023/08/09
4612,日本ペイントホールディングス,プライム,2023/08/09
4613,関西ペイント,プライム,2023/08/09
4617,中国塗料,プライム,2023/08/09
4619,日本特殊塗料,プライム,2023/08/09
4620,藤倉化成,プライム,2023/08/09
4626,太陽ホールディングス,プライム,2023/08/09
4631,ＤＩＣ,プライム,2023/08/09
4633,サカタインクス,プライム,2023/08/09
4634,東洋インキＳＣホールディングス,プライム,2023/08/09
4901,富士フイルムホールディングス,プライム,2023/08/09
4911,資生堂,プライム,2023/08/09
4912,ライオン,プライム,2023/08/09
4914,高砂香料工業,プライム,2023/08/09
4917,マンダム,プライム,2023/08/09
4919,ミルボン,プライム,2023/08/09
4922,コーセー,プライム,2023/08/09
4923,コタ,プライム,2023/08/09
4927,ポーラ・オルビスホールディングス,プライム,2023/08/09
4928,ノエビアホールディングス,プライム,2023/08/09
